key,code,moment,startDate,endDate,amount,type,email,link,published,key:project,key:sponsor
sponsorship-01,ABC-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,false,project-01,sponsor-01
sponsorship-02,A-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,false,project-01,sponsor-01
sponsorship-03,AB-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-04,AAA-123,2021/08/21 00:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-05,BBB-123,2021/08/21 23:59,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-06,CCC-123,2022/01/01 00:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-07,DDD-123,2021/08/21 12:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-08,EEE-123,2021/08/21 11:59,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-09,FFF-123,2021/08/06 00:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-10,HHH-123,2021/08/06 00:01,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-11,III-123,2021/12/31 23:59,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
