key,code,start-period,end-period,location,instructor,contact-email,link,draft-mode,key:trainingModule
training-session-01,TS-AA-000,2000/01/08 00:00,2022/12/31 23:59,Sevilla,Pochita,evangelion@acme.com,https://www.sport.es,false,training-module-01
training-session-02,TS-AA-001,2000/01/08 00:01,2022/12/31 23:58,Sevilla,Pochita,CarlFriedrichGauss@hotmail.com,https://www.pocketpair.jp,true,training-module-01
training-session-03,TS-AZB-001,2000/01/08 00:02,2000/01/15 00:02,Madrid,Asuka,Euclides@hotmail.es,https://www.nintendo.com,false,training-module-05
training-session-04,TS-A-000,2022/07/03 00:00,2022/07/10 00:01,Sevilla,Pochita,RenéDescartes@gmail.com,https://twitter.com/avogado6,false,training-module-01
training-session-05,TS-A-001,2000/01/08 00:00,2000/01/15 00:00,Tokyo,Denji,AlanTuring@acme.com,,false,training-module-02
training-session-06,TS-AAA-000,2012/07/03 00:00,2013/07/10 00:00,Pochita,Juanito,IsaacNewton@outlook.com,https://twitter.com/elonmusk,false,training-module-01
training-session-07,TS-AB-000,2015/07/22 23:59,2017/07/29 23:59,日本,A,LeonhardEuler@acme.com,https://twitter.com/elonmusk,false,training-module-02
training-session-08,TS-AB-001,2015/07/22 23:58,2015/08/17 23:59,Sevilla,Pochita,BillGates@acme.com,,false,training-module-01
training-session-09,TS-AB-002,2010/07/03 00:00,2022/07/17 23:59,Sevilla,Pochita,JamesGosling@acme.com,https://twitter.com/Tesla,false,training-module-01
training-session-10,TS-YYY-003,2001/07/03 23:59,2022/07/17 23:59,Sevilla,As,RichardBrodie@acme.com,https://twitter.com/Google,false,training-module-02
training-session-11,TS-AB-004,2001/07/04 23:58,2022/07/18 23:59,Sevilla,Pochita,GuidoVanRossum@acme.com,https://twitter.com/X,false,training-module-01
training-session-12,TS-BB-005,2022/07/04 00:00,2022/07/18 00:00,S,Pochita,DennisRitchie@acme.com,https://twitter.com/cnnbrk,false,training-module-01
training-session-13,TS-AL-006,2022/07/04 00:00,2022/07/18 00:00,Se,De,AndersHejlsberj@acme.com,https://twitter.com/Windows,false,training-module-02
training-session-14,TS-AK-007,2022/07/04 17:00,2022/07/18 06:00,SevillaSevillaSevillaSevillaSevillaSevillaSevillaSevillaSevillaSevillaSevil,Pochita,TimBerners-Lee@acme.com,https://twitter.com/Microsoft,false,training-module-01
training-session-15,TS-AB-972,2022/07/22 23:59,2022/07/29 23:59,SevillaSevillaSevillaSevillaSevillaSevillaSevillaSevillaSevillaSevillaSevi,Pochita,BrianBehlendorf@acme.com,https://twitter.com/Windows,false,training-module-01
training-session-16,TS-AB-666,2022/07/22 23:58,2022/07/29 23:58,SevillaSevillaSevillaSevillaSevi,Pochita,FredCohen@acme.com,https://twitter.com/NVIDIAGeForce,false,training-module-01
training-session-17,TS-AB-010,2022/07/04 20:00,2022/07/11 20:00,Sevilla,Pochita,Sócrates@acme.com,https://twitter.com/OpenAI,false,training-module-01
training-session-18,TS-AB-011,2000/01/08 00:00,2200/12/31 23:59,Sevilla,AsukaAsukaAsukaAsukaAsukaAsuka,母鹿@acme.com,https://twitter.com/GoogleAI,true,training-module-01
training-session-19,TS-AB-012,2022/07/04 08:00,2022/07/18 23:00,Sevilla,Po,Platón@acme.com,http://第1节.com,false,training-module-01
training-session-20,TS-AB-999,2022/07/04 09:33,2022/07/18 23:59,Sevilla,DenjiDenjiDenjiDenjiDenjiDenji,Aristóteles@acme.com,https://twitter.com/Mangafest,false,training-module-02
training-session-21,TS-AZ-014,2022/07/04 23:59,2022/07/11 23:59,Sevilla,P,SanAgustín@acme.com,http://sesion3.com,false,training-module-01
training-session-22,TS-AB-015,2022/07/04 22:00,2022/07/11 22:00,Россия,Ju,DavidHume@acme.com,http://sesion4.com,true,training-module-01
training-session-23,TS-AB-016,2022/07/04 13:33,2022/07/11 13:33,Sevilla,PochitaPochitaPochitaPochitaPochitaPochitaPochitaPochitaPochitaPochitaPochi,FriedrichNietzsche@acme.com,http://sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesion5sesio.com,false,training-module-01
training-session-24,TS-AB-017,2022/07/04 17:00,2022/07/12 06:12,Sevilla,PochitaPochitaPochitaPochitaPochitaPochitaPochitaPochitaPochitaPochitaPoch,ImmanuelKant@acme.com,http://sesion1sesion1sesion1sesion1sesion1sesion1sesion1.com,false,training-module-01
training-session-25,TS-AB-998,2022/07/04 00:00,2022/07/12 00:00,Sevilla,PochitaPoch,ElonMusk@acme.com,http://sesion2.com,false,training-module-01
training-session-26,TS-Z-000,2011/01/04 00:00,2011/01/11 00:00,Sevilla,Laura,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,http://sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion2sesion.com,false,training-module-02
training-session-27,TS-ZZ-111,2012/01/01 23:59,2012/01/08 23:59,Германия,Андрей,Дмитрий@acme.com,http://Андрей.com,true,training-module-03
training-session-28,TS-YY-264,2022/01/01 00:00,2022/01/08 00:00,საქართველოს,カリム,MariaSalomeaSkłodowska-Curie@acme.com,http://sesion2.com,false,training-module-09
training-session-29,TS-Z-014,2022/07/04 23:59,2022/07/11 23:59,Sevilla,P,SanAgustín@acme.com,http://sesion3.com,false,training-module-01
training-session-30,TS-ABH-015,2022/07/04 22:00,2022/07/11 22:00,Р,J,D@acme.com,http://S.com,true,training-module-01
training-session-31,TS-ABZ-009,2022/01/01 00:01,2022/07/11 22:00,Ро,Ju,Da@acme.com,http://se.com,false,training-module-09
training-session-32,TS-BZ-099,2000/01/08 00:00,2022/07/11 22:00,Ро,Ju,Da@acme.com,,false,training-module-02
training-session-33,TS-A-018,2022/07/04 22:00,2022/07/11 22:00,Ро,Ju,Da@acme.com,http://se.com,false,training-module-02
training-session-34,TS-AAA-019,2022/09/01 10:00,2022/09/08 10:00,L,Lorem ipsum,acme@lorem-ipsum.org,ftp://a,false,training-module-02
training-session-35,TS-AA-020,2022/08/05 23:59,2022/08/12 23:59,Lo,L,a@b.es,ftp://a.b,false,training-module-02
training-session-36,TS-B-021,2022/08/06 00:00,2022/08/13 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",Lo,a@b.esx,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,training-module-02
training-session-37,TS-BB-022,2022/08/06 00:01,2022/08/13 00:01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",a@b.esx,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,training-module-02
training-session-38,TS-BBB-023,2200/12/24 23:58,2200/12/31 23:58,국민경제의 발전을,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",a@b.esx,https://www.lorem-ipsum.org,false,training-module-02
